| INPUT=00000000 | REVERSE=00000000 | Palindrome=1 |
| INPUT=00000001 | REVERSE=10000000 | Palindrome=0 |
| INPUT=00000010 | REVERSE=01000000 | Palindrome=0 |
| INPUT=00000011 | REVERSE=11000000 | Palindrome=0 |
| INPUT=00000100 | REVERSE=00100000 | Palindrome=0 |
| INPUT=00000101 | REVERSE=10100000 | Palindrome=0 |
| INPUT=00000110 | REVERSE=01100000 | Palindrome=0 |
| INPUT=00000111 | REVERSE=11100000 | Palindrome=0 |
| INPUT=00001000 | REVERSE=00010000 | Palindrome=0 |
| INPUT=00001001 | REVERSE=10010000 | Palindrome=0 |
| INPUT=00001010 | REVERSE=01010000 | Palindrome=0 |
| INPUT=00001011 | REVERSE=11010000 | Palindrome=0 |
| INPUT=00001100 | REVERSE=00110000 | Palindrome=0 |
| INPUT=00001101 | REVERSE=10110000 | Palindrome=0 |
| INPUT=00001110 | REVERSE=01110000 | Palindrome=0 |
| INPUT=00001111 | REVERSE=11110000 | Palindrome=0 |
| INPUT=00010000 | REVERSE=00001000 | Palindrome=0 |
| INPUT=00010001 | REVERSE=10001000 | Palindrome=0 |
| INPUT=00010010 | REVERSE=01001000 | Palindrome=0 |
| INPUT=00010011 | REVERSE=11001000 | Palindrome=0 |
| INPUT=00010100 | REVERSE=00101000 | Palindrome=0 |
| INPUT=00010101 | REVERSE=10101000 | Palindrome=0 |
| INPUT=00010110 | REVERSE=01101000 | Palindrome=0 |
| INPUT=00010111 | REVERSE=11101000 | Palindrome=0 |
| INPUT=00011000 | REVERSE=00011000 | Palindrome=1 |
| INPUT=00011001 | REVERSE=10011000 | Palindrome=0 |
| INPUT=00011010 | REVERSE=01011000 | Palindrome=0 |
| INPUT=00011011 | REVERSE=11011000 | Palindrome=0 |
| INPUT=00011100 | REVERSE=00111000 | Palindrome=0 |
| INPUT=00011101 | REVERSE=10111000 | Palindrome=0 |
| INPUT=00011110 | REVERSE=01111000 | Palindrome=0 |
| INPUT=00011111 | REVERSE=11111000 | Palindrome=0 |
| INPUT=00100000 | REVERSE=00000100 | Palindrome=0 |
| INPUT=00100001 | REVERSE=10000100 | Palindrome=0 |
| INPUT=00100010 | REVERSE=01000100 | Palindrome=0 |
| INPUT=00100011 | REVERSE=11000100 | Palindrome=0 |
| INPUT=00100100 | REVERSE=00100100 | Palindrome=1 |
| INPUT=00100101 | REVERSE=10100100 | Palindrome=0 |
| INPUT=00100110 | REVERSE=01100100 | Palindrome=0 |
| INPUT=00100111 | REVERSE=11100100 | Palindrome=0 |
| INPUT=00101000 | REVERSE=00010100 | Palindrome=0 |
| INPUT=00101001 | REVERSE=10010100 | Palindrome=0 |
| INPUT=00101010 | REVERSE=01010100 | Palindrome=0 |
| INPUT=00101011 | REVERSE=11010100 | Palindrome=0 |
| INPUT=00101100 | REVERSE=00110100 | Palindrome=0 |
| INPUT=00101101 | REVERSE=10110100 | Palindrome=0 |
| INPUT=00101110 | REVERSE=01110100 | Palindrome=0 |
| INPUT=00101111 | REVERSE=11110100 | Palindrome=0 |
| INPUT=00110000 | REVERSE=00001100 | Palindrome=0 |
| INPUT=00110001 | REVERSE=10001100 | Palindrome=0 |
| INPUT=00110010 | REVERSE=01001100 | Palindrome=0 |
| INPUT=00110011 | REVERSE=11001100 | Palindrome=0 |
| INPUT=00110100 | REVERSE=00101100 | Palindrome=0 |
| INPUT=00110101 | REVERSE=10101100 | Palindrome=0 |
| INPUT=00110110 | REVERSE=01101100 | Palindrome=0 |
| INPUT=00110111 | REVERSE=11101100 | Palindrome=0 |
| INPUT=00111000 | REVERSE=00011100 | Palindrome=0 |
| INPUT=00111001 | REVERSE=10011100 | Palindrome=0 |
| INPUT=00111010 | REVERSE=01011100 | Palindrome=0 |
| INPUT=00111011 | REVERSE=11011100 | Palindrome=0 |
| INPUT=00111100 | REVERSE=00111100 | Palindrome=1 |
| INPUT=00111101 | REVERSE=10111100 | Palindrome=0 |
| INPUT=00111110 | REVERSE=01111100 | Palindrome=0 |
| INPUT=00111111 | REVERSE=11111100 | Palindrome=0 |
| INPUT=01000000 | REVERSE=00000010 | Palindrome=0 |
| INPUT=01000001 | REVERSE=10000010 | Palindrome=0 |
| INPUT=01000010 | REVERSE=01000010 | Palindrome=1 |
| INPUT=01000011 | REVERSE=11000010 | Palindrome=0 |
| INPUT=01000100 | REVERSE=00100010 | Palindrome=0 |
| INPUT=01000101 | REVERSE=10100010 | Palindrome=0 |
| INPUT=01000110 | REVERSE=01100010 | Palindrome=0 |
| INPUT=01000111 | REVERSE=11100010 | Palindrome=0 |
| INPUT=01001000 | REVERSE=00010010 | Palindrome=0 |
| INPUT=01001001 | REVERSE=10010010 | Palindrome=0 |
| INPUT=01001010 | REVERSE=01010010 | Palindrome=0 |
| INPUT=01001011 | REVERSE=11010010 | Palindrome=0 |
| INPUT=01001100 | REVERSE=00110010 | Palindrome=0 |
| INPUT=01001101 | REVERSE=10110010 | Palindrome=0 |
| INPUT=01001110 | REVERSE=01110010 | Palindrome=0 |
| INPUT=01001111 | REVERSE=11110010 | Palindrome=0 |
| INPUT=01010000 | REVERSE=00001010 | Palindrome=0 |
| INPUT=01010001 | REVERSE=10001010 | Palindrome=0 |
