| in1=00000000 | in2=11111111 | Hamming Distance=01000 |
| in1=00000001 | in2=11111110 | Hamming Distance=01000 |
| in1=00000010 | in2=11111101 | Hamming Distance=01000 |
| in1=00000011 | in2=11111100 | Hamming Distance=01000 |
| in1=00000100 | in2=11111011 | Hamming Distance=01000 |
| in1=00000101 | in2=11111010 | Hamming Distance=01000 |
| in1=00000110 | in2=11111001 | Hamming Distance=01000 |
| in1=00000111 | in2=11111000 | Hamming Distance=01000 |
| in1=00001000 | in2=11110111 | Hamming Distance=01000 |
| in1=00001001 | in2=11110110 | Hamming Distance=01000 |
| in1=00001010 | in2=11110101 | Hamming Distance=01000 |
| in1=00001011 | in2=11110100 | Hamming Distance=01000 |
| in1=00001100 | in2=11110011 | Hamming Distance=01000 |
| in1=00001101 | in2=11110010 | Hamming Distance=01000 |
| in1=00001110 | in2=11110001 | Hamming Distance=01000 |
| in1=00001111 | in2=11110000 | Hamming Distance=01000 |
| in1=00010000 | in2=11101111 | Hamming Distance=01000 |
| in1=00010001 | in2=11101110 | Hamming Distance=01000 |
| in1=00010010 | in2=11101101 | Hamming Distance=01000 |
| in1=00010011 | in2=11101100 | Hamming Distance=01000 |
| in1=00010100 | in2=11101011 | Hamming Distance=01000 |
| in1=00010101 | in2=11101010 | Hamming Distance=01000 |
| in1=00010110 | in2=11101001 | Hamming Distance=01000 |
| in1=00010111 | in2=11101000 | Hamming Distance=01000 |
| in1=00011000 | in2=11100111 | Hamming Distance=01000 |
| in1=00011001 | in2=11100110 | Hamming Distance=01000 |
| in1=00011010 | in2=11100101 | Hamming Distance=01000 |
| in1=00011011 | in2=11100100 | Hamming Distance=01000 |
| in1=00011100 | in2=11100011 | Hamming Distance=01000 |
| in1=00011101 | in2=11100010 | Hamming Distance=01000 |
| in1=00011110 | in2=11100001 | Hamming Distance=01000 |
| in1=00011111 | in2=11100000 | Hamming Distance=01000 |
| in1=00100000 | in2=11011111 | Hamming Distance=01000 |
| in1=00100001 | in2=11011110 | Hamming Distance=01000 |
| in1=00100010 | in2=11011101 | Hamming Distance=01000 |
| in1=00100011 | in2=11011100 | Hamming Distance=01000 |
| in1=00100100 | in2=11011011 | Hamming Distance=01000 |
| in1=00100101 | in2=11011010 | Hamming Distance=01000 |
| in1=00100110 | in2=11011001 | Hamming Distance=01000 |
| in1=00100111 | in2=11011000 | Hamming Distance=01000 |
| in1=00101000 | in2=11010111 | Hamming Distance=01000 |
| in1=00101001 | in2=11010110 | Hamming Distance=01000 |
| in1=00101010 | in2=11010101 | Hamming Distance=01000 |
