| in=00000000 | out=0 | 0-even and 1-odd |
| in=00000001 | out=1 | 0-even and 1-odd |
| in=00000010 | out=0 | 0-even and 1-odd |
| in=00000011 | out=1 | 0-even and 1-odd |
| in=00000100 | out=0 | 0-even and 1-odd |
| in=00000101 | out=1 | 0-even and 1-odd |
| in=00000110 | out=0 | 0-even and 1-odd |
| in=00000111 | out=1 | 0-even and 1-odd |
| in=00001000 | out=0 | 0-even and 1-odd |
| in=00001001 | out=1 | 0-even and 1-odd |
| in=00001010 | out=0 | 0-even and 1-odd |
| in=00001011 | out=1 | 0-even and 1-odd |
| in=00001100 | out=0 | 0-even and 1-odd |
| in=00001101 | out=1 | 0-even and 1-odd |
| in=00001110 | out=0 | 0-even and 1-odd |
| in=00001111 | out=1 | 0-even and 1-odd |
| in=00010000 | out=0 | 0-even and 1-odd |
| in=00010001 | out=1 | 0-even and 1-odd |
| in=00010010 | out=0 | 0-even and 1-odd |
| in=00010011 | out=1 | 0-even and 1-odd |
| in=00010100 | out=0 | 0-even and 1-odd |
| in=00010101 | out=1 | 0-even and 1-odd |
| in=00010110 | out=0 | 0-even and 1-odd |
| in=00010111 | out=1 | 0-even and 1-odd |
| in=00011000 | out=0 | 0-even and 1-odd |
| in=00011001 | out=1 | 0-even and 1-odd |
| in=00011010 | out=0 | 0-even and 1-odd |
| in=00011011 | out=1 | 0-even and 1-odd |
| in=00011100 | out=0 | 0-even and 1-odd |
| in=00011101 | out=1 | 0-even and 1-odd |
| in=00011110 | out=0 | 0-even and 1-odd |
| in=00011111 | out=1 | 0-even and 1-odd |
| in=00100000 | out=0 | 0-even and 1-odd |
| in=00100001 | out=1 | 0-even and 1-odd |
| in=00100010 | out=0 | 0-even and 1-odd |
| in=00100011 | out=1 | 0-even and 1-odd |
| in=00100100 | out=0 | 0-even and 1-odd |
| in=00100101 | out=1 | 0-even and 1-odd |
| in=00100110 | out=0 | 0-even and 1-odd |
| in=00100111 | out=1 | 0-even and 1-odd |
| in=00101000 | out=0 | 0-even and 1-odd |
| in=00101001 | out=1 | 0-even and 1-odd |
| in=00101010 | out=0 | 0-even and 1-odd |
| in=00101011 | out=1 | 0-even and 1-odd |
| in=00101100 | out=0 | 0-even and 1-odd |
| in=00101101 | out=1 | 0-even and 1-odd |
| in=00101110 | out=0 | 0-even and 1-odd |
| in=00101111 | out=1 | 0-even and 1-odd |
| in=00110000 | out=0 | 0-even and 1-odd |
| in=00110001 | out=1 | 0-even and 1-odd |
| in=00110010 | out=0 | 0-even and 1-odd |
| in=00110011 | out=1 | 0-even and 1-odd |
| in=00110100 | out=0 | 0-even and 1-odd |
| in=00110101 | out=1 | 0-even and 1-odd |
| in=00110110 | out=0 | 0-even and 1-odd |
| in=00110111 | out=1 | 0-even and 1-odd |
| in=00111000 | out=0 | 0-even and 1-odd |
| in=00111001 | out=1 | 0-even and 1-odd |
| in=00111010 | out=0 | 0-even and 1-odd |
| in=00111011 | out=1 | 0-even and 1-odd |
| in=00111100 | out=0 | 0-even and 1-odd |
| in=00111101 | out=1 | 0-even and 1-odd |
| in=00111110 | out=0 | 0-even and 1-odd |
| in=00111111 | out=1 | 0-even and 1-odd |
| in=01000000 | out=0 | 0-even and 1-odd |
| in=01000001 | out=1 | 0-even and 1-odd |
| in=01000010 | out=0 | 0-even and 1-odd |
| in=01000011 | out=1 | 0-even and 1-odd |
| in=01000100 | out=0 | 0-even and 1-odd |
| in=01000101 | out=1 | 0-even and 1-odd |
| in=01000110 | out=0 | 0-even and 1-odd |
| in=01000111 | out=1 | 0-even and 1-odd |
| in=01001000 | out=0 | 0-even and 1-odd |
| in=01001001 | out=1 | 0-even and 1-odd |
| in=01001010 | out=0 | 0-even and 1-odd |
| in=01001011 | out=1 | 0-even and 1-odd |
| in=01001100 | out=0 | 0-even and 1-odd |
| in=01001101 | out=1 | 0-even and 1-odd |
| in=01001110 | out=0 | 0-even and 1-odd |
| in=01001111 | out=1 | 0-even and 1-odd |
| in=01010000 | out=0 | 0-even and 1-odd |
| in=01010001 | out=1 | 0-even and 1-odd |
| in=01010010 | out=0 | 0-even and 1-odd |
| in=01010011 | out=1 | 0-even and 1-odd |
| in=01010100 | out=0 | 0-even and 1-odd |
| in=01010101 | out=1 | 0-even and 1-odd |
| in=01010110 | out=0 | 0-even and 1-odd |
| in=01010111 | out=1 | 0-even and 1-odd |
| in=01011000 | out=0 | 0-even and 1-odd |
| in=01011001 | out=1 | 0-even and 1-odd |
| in=01011010 | out=0 | 0-even and 1-odd |
| in=01011011 | out=1 | 0-even and 1-odd |
| in=01011100 | out=0 | 0-even and 1-odd |
| in=01011101 | out=1 | 0-even and 1-odd |
| in=01011110 | out=0 | 0-even and 1-odd |
| in=01011111 | out=1 | 0-even and 1-odd |
| in=01100000 | out=0 | 0-even and 1-odd |
| in=01100001 | out=1 | 0-even and 1-odd |
| in=01100010 | out=0 | 0-even and 1-odd |
| in=01100011 | out=1 | 0-even and 1-odd |
