| Out = 0 	 | Reset = 0 |	
| Out = 1 	 | Reset = 0 |	
| Out = 2 	 | Reset = 0 |	
| Out = 3 	 | Reset = 0 |	
| Out = 4 	 | Reset = 0 |	
| Out = 5 	 | Reset = 0 |	
| Out = 6 	 | Reset = 0 |	
| Out = 7 	 | Reset = 0 |	
| Out = 8 	 | Reset = 0 |	
| Out = 9 	 | Reset = 0 |	
| Out = 0 	 | Reset = 0 |	
| Out = 1 	 | Reset = 0 |	
| Out = 2 	 | Reset = 0 |	
| Out = 3 	 | Reset = 0 |	
| Out = 3 	 | Reset = 1 |	
| Out = 0 	 | Reset = 1 |	
| Out = 0 	 | Reset = 0 |	
| Out = 1 	 | Reset = 0 |	
| Out = 2 	 | Reset = 0 |	
| Out = 3 	 | Reset = 0 |	
| Out = 4 	 | Reset = 0 |	
| Out = 5 	 | Reset = 0 |	
| Out = 6 	 | Reset = 0 |	
| Out = 7 	 | Reset = 0 |	
| Out = 8 	 | Reset = 0 |	
| Out = 9 	 | Reset = 0 |	
| Out = 0 	 | Reset = 0 |	
