| Time = 0 | CLK : 1 | J : 1 | K : 1 | Q : x | Q_bar : x |
| Time = 10 | CLK : 0 | J : 0 | K : 1 | Q : x | Q_bar : x |
| Time = 15 | CLK : 0 | J : 0 | K : 0 | Q : x | Q_bar : x |
| Time = 20 | CLK : 1 | J : 1 | K : 0 | Q : 1 | Q_bar : 0 |
| Time = 30 | CLK : 0 | J : 0 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 40 | CLK : 1 | J : 1 | K : 1 | Q : 0 | Q_bar : 1 |
| Time = 45 | CLK : 1 | J : 1 | K : 0 | Q : 0 | Q_bar : 1 |
| Time = 50 | CLK : 0 | J : 0 | K : 0 | Q : 0 | Q_bar : 1 |
| Time = 60 | CLK : 1 | J : 1 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 70 | CLK : 0 | J : 0 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 75 | CLK : 0 | J : 0 | K : 0 | Q : 1 | Q_bar : 0 |
| Time = 80 | CLK : 1 | J : 1 | K : 0 | Q : 1 | Q_bar : 0 |
| Time = 90 | CLK : 0 | J : 0 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 100 | CLK : 1 | J : 1 | K : 1 | Q : 0 | Q_bar : 1 |
| Time = 105 | CLK : 1 | J : 1 | K : 0 | Q : 0 | Q_bar : 1 |
| Time = 110 | CLK : 0 | J : 0 | K : 0 | Q : 0 | Q_bar : 1 |
| Time = 120 | CLK : 1 | J : 1 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 130 | CLK : 0 | J : 0 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 135 | CLK : 0 | J : 0 | K : 0 | Q : 1 | Q_bar : 0 |
| Time = 140 | CLK : 1 | J : 1 | K : 0 | Q : 1 | Q_bar : 0 |
| Time = 150 | CLK : 0 | J : 0 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 160 | CLK : 1 | J : 1 | K : 1 | Q : 0 | Q_bar : 1 |
| Time = 165 | CLK : 1 | J : 1 | K : 0 | Q : 0 | Q_bar : 1 |
| Time = 170 | CLK : 0 | J : 0 | K : 0 | Q : 0 | Q_bar : 1 |
| Time = 180 | CLK : 1 | J : 1 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 190 | CLK : 0 | J : 0 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 195 | CLK : 0 | J : 0 | K : 0 | Q : 1 | Q_bar : 0 |
| Time = 200 | CLK : 1 | J : 1 | K : 0 | Q : 1 | Q_bar : 0 |
| Time = 210 | CLK : 0 | J : 0 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 220 | CLK : 1 | J : 1 | K : 1 | Q : 0 | Q_bar : 1 |
| Time = 225 | CLK : 1 | J : 1 | K : 0 | Q : 0 | Q_bar : 1 |
| Time = 230 | CLK : 0 | J : 0 | K : 0 | Q : 0 | Q_bar : 1 |
| Time = 240 | CLK : 1 | J : 1 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 250 | CLK : 0 | J : 0 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 255 | CLK : 0 | J : 0 | K : 0 | Q : 1 | Q_bar : 0 |
| Time = 260 | CLK : 1 | J : 1 | K : 0 | Q : 1 | Q_bar : 0 |
| Time = 270 | CLK : 0 | J : 0 | K : 1 | Q : 1 | Q_bar : 0 |
| Time = 280 | CLK : 1 | J : 1 | K : 1 | Q : 0 | Q_bar : 1 |
| Time = 285 | CLK : 1 | J : 1 | K : 0 | Q : 0 | Q_bar : 1 |
