 | In = 00000000 | Out = xxx |
      | In = 00000001 | Out = 000 |
      | In = 00000010 | Out = 001 |
      | In = 00000011 | Out = 001 |
      | In = 00000100 | Out = 010 |
      | In = 00000101 | Out = 010 |
      | In = 00000110 | Out = 010 |
      | In = 00000111 | Out = 010 |
      | In = 00001000 | Out = 011 |
      | In = 00001001 | Out = 011 |
      | In = 00001010 | Out = 011 |
      | In = 00001011 | Out = 011 |
      | In = 00001100 | Out = 011 |
      | In = 00001101 | Out = 011 |
      | In = 00001110 | Out = 011 |
      | In = 00001111 | Out = 011 |
      | In = 00010000 | Out = 100 |
      | In = 00010001 | Out = 100 |
      | In = 00010010 | Out = 100 |
      | In = 00010011 | Out = 100 |
      | In = 00010100 | Out = 100 |
      | In = 00010101 | Out = 100 |
      | In = 00010110 | Out = 100 |
      | In = 00010111 | Out = 100 |
      | In = 00011000 | Out = 100 |
      | In = 00011001 | Out = 100 |
      | In = 00011010 | Out = 100 |
      | In = 00011011 | Out = 100 |
      | In = 00011100 | Out = 100 |
      | In = 00011101 | Out = 100 |
      | In = 00011110 | Out = 100 |
      | In = 00011111 | Out = 100 |
      | In = 00100000 | Out = 101 |
      | In = 00100001 | Out = 101 |
      | In = 00100010 | Out = 101 |
      | In = 00100011 | Out = 101 |
      | In = 00100100 | Out = 101 |
      | In = 00100101 | Out = 101 |
      | In = 00100110 | Out = 101 |
      | In = 00100111 | Out = 101 |
      | In = 00101000 | Out = 101 |
      | In = 00101001 | Out = 101 |
      | In = 00101010 | Out = 101 |
      | In = 00101011 | Out = 101 |
      | In = 00101100 | Out = 101 |
      | In = 00101101 | Out = 101 |
      | In = 00101110 | Out = 101 |
      | In = 00101111 | Out = 101 |
      | In = 00110000 | Out = 101 |
      | In = 00110001 | Out = 101 |
      | In = 00110010 | Out = 101 |
      | In = 00110011 | Out = 101 |
      | In = 00110100 | Out = 101 |
      | In = 00110101 | Out = 101 |
      | In = 00110110 | Out = 101 |
      | In = 00110111 | Out = 101 |
      | In = 00111000 | Out = 101 |
      | In = 00111001 | Out = 101 |
      | In = 00111010 | Out = 101 |
      | In = 00111011 | Out = 101 |
      | In = 00111100 | Out = 101 |
      | In = 00111101 | Out = 101 |
      | In = 00111110 | Out = 101 |
      | In = 00111111 | Out = 101 |
      | In = 01000000 | Out = 110 |
      | In = 01000001 | Out = 110 |
      | In = 01000010 | Out = 110 |
      | In = 01000011 | Out = 110 |
      | In = 01000100 | Out = 110 |
      | In = 01000101 | Out = 110 |
      | In = 01000110 | Out = 110 |
      | In = 01000111 | Out = 110 |
      | In = 01001000 | Out = 110 |
      | In = 01001001 | Out = 110 |
      | In = 01001010 | Out = 110 |
      | In = 01001011 | Out = 110 |
      | In = 01001100 | Out = 110 |
      | In = 01001101 | Out = 110 |
      | In = 01001110 | Out = 110 |
      | In = 01001111 | Out = 110 |
      | In = 01010000 | Out = 110 |
      | In = 01010001 | Out = 110 |
      | In = 01010010 | Out = 110 |
      | In = 01010011 | Out = 110 |
      | In = 01010100 | Out = 110 |
      | In = 01010101 | Out = 110 |
      | In = 01010110 | Out = 110 |
      | In = 01010111 | Out = 110 |
      | In = 01011000 | Out = 110 |
      | In = 01011001 | Out = 110 |
      | In = 01011010 | Out = 110 |
      | In = 01011011 | Out = 110 |
      | In = 01011100 | Out = 110 |
      | In = 01011101 | Out = 110 |
      | In = 01011110 | Out = 110 |
      | In = 01011111 | Out = 110 |
      | In = 01100000 | Out = 110 |
      | In = 01100001 | Out = 110 |
      | In = 01100010 | Out = 110 |
      | In = 01100011 | Out = 110 |
      | In = 01100100 | Out = 110 |
