| input=0000 | OP: | a=1 | b=1 | c=1 | d=1 | e=1 | f=1 | g = 0 |
| input=0001 | OP: | a=0 | b=1 | c=1 | d=0 | e=0 | f=0 | g = 0 |
| input=0010 | OP: | a=1 | b=1 | c=0 | d=1 | e=1 | f=0 | g = 1 |
| input=0011 | OP: | a=1 | b=1 | c=1 | d=1 | e=0 | f=0 | g = 1 |
| input=0100 | OP: | a=0 | b=1 | c=1 | d=0 | e=0 | f=1 | g = 1 |
| input=0101 | OP: | a=1 | b=0 | c=1 | d=1 | e=0 | f=1 | g = 1 |
| input=0110 | OP: | a=1 | b=0 | c=1 | d=1 | e=1 | f=1 | g = 1 |
| input=0111 | OP: | a=1 | b=1 | c=1 | d=0 | e=0 | f=0 | g = 0 |
| input=1000 | OP: | a=1 | b=1 | c=1 | d=1 | e=1 | f=1 | g = 1 |
| input=1001 | OP: | a=1 | b=1 | c=1 | d=1 | e=0 | f=1 | g = 1 |
| input=1010 | OP: | a=0 | b=0 | c=0 | d=0 | e=0 | f=0 | g = 0 |
| input=1011 | OP: | a=0 | b=0 | c=0 | d=0 | e=0 | f=0 | g = 0 |
| input=1100 | OP: | a=0 | b=0 | c=0 | d=0 | e=0 | f=0 | g = 0 |
| input=1101 | OP: | a=0 | b=0 | c=0 | d=0 | e=0 | f=0 | g = 0 |
| input=1110 | OP: | a=0 | b=0 | c=0 | d=0 | e=0 | f=0 | g = 0 |
| input=1111 | OP: | a=0 | b=0 | c=0 | d=0 | e=0 | f=0 | g = 0 |
